id,company_rank,employee_count,company,url,state,state_code,city,metro,growth_percent,revenue_usd,industry,years_on_inc5000
21115,610,23,"Hernandez Consulting",hernandez-consulting,Louisiana,LA,"New Orleans","New Orleans-Metairie-Kenner LA",779.0715,16094973,"Government Services",3
23272,611,154,TechShop,techshop,California,CA,"San Jose","San Jose",778.4738,9753457,Manufacturing,2
21121,612,96,Zenosys,zenosys,"New Jersey",NJ,"Kendall Park","New York City",774.7829,5343314,"IT Services",2
25593,613,3,"Second Media",second-media,California,CA,"San Francisco","San Francisco",773.273,3325310,Media,1
24972,614,5,"Facility Nexus",facility-nexus,Utah,UT,"Salt Lake City","Salt Lake City",772.3927,3146075,"Business Products & Services",1
19412,615,27,"ASE Direct",ase-direct,Tennessee,TN,Brentwood,Nashville,760.2982,34497596,"Government Services",4
25048,616,42,"Ven Soft",ven-soft,Virginia,VA,Fairfax,"Washington DC",759.4886,3072706,"IT Services",1
23221,617,212,"Fruition Partners",fruition-partners,Illinois,IL,Chicago,Chicago,758.6166,30069663,"IT Services",2
25705,618,8,"Mass Metal",mass-metal,Kansas,KS,Lawrence,"Lawrence KS",758.5189,17550943,"Financial Services",1
21392,619,104,BayRu,bayru,Illinois,IL,"Morton Grove",Chicago,754.2854,27388108,Retail,3
24907,620,15,"EyeMD EMR Healthcare Systems",eyemd-emr-healthcare-systems,Florida,FL,"Bonita Springs","Naples-Marco Island FL",753.9595,2384383,"IT Services",1
23334,621,93,Pluralsight,pluralsight,Utah,UT,Layton,"Ogden-Clearfield UT",753.8939,28501656,Education,2
21132,622,159,mophie,mophie,California,CA,Tustin,"Los Angeles",750.5427,215393724,"Consumer Products & Services",3
26505,623,53,"Joule Energy",joule-energy,Louisiana,LA,"New Orleans","New Orleans-Metairie-Kenner LA",749.8454,12462915,Energy,1
24866,624,33,"ZOG Digital",zog-digital,Arizona,AZ,Scottsdale,Phoenix,748.0046,2846692,"Advertising & Marketing",1
26382,625,20,"iCube CSI",icube-csi,Florida,FL,Jacksonville,"Jacksonville FL",747.273,3253740,"IT Services",1
23023,626,49,Greenphire,greenphire,Pennsylvania,PA,"King of Prussia",Philadelphia,744.9564,6785000,Software,2
23122,627,175,"Branding Brand",branding-brand,Pennsylvania,PA,Pittsburgh,"Pittsburgh PA",744.3667,12130721,Software,2
21426,628,70,"Quality Management Solutions",quality-management-solutions,Massachusetts,MA,Wakefield,Philadelphia,741.1839,17282821,"IT Services",3
23297,629,206,"Kendra Scott",kendra-scott,Texas,TX,Austin,Austin,740.7748,11602692,Retail,2
25728,630,12,"Dicks Nanton Agency",dicks-nanton-agency,Florida,FL,Orlando,"Orlando FL",740.6266,3103047,"Advertising & Marketing",1
23038,631,725,TaskUs,taskus,California,CA,"Santa Monica","Los Angeles",739.0994,6243017,"Business Products & Services",2
23418,632,94,"Glover Services",glover-services,Utah,UT,Bluffdale,"Salt Lake City",738.4579,16050088,Construction,2
25621,633,30,Dime,dime,Georgia,GA,Cumming,Atlanta,736.441,2140645,"Business Products & Services",1
21064,634,30,"The Premier Group Staffing",the-premier-group-staffing,Colorado,CO,Denver,Denver,734.6353,13657622,"Human Resources",3
26582,635,465,Opower,opower,Virginia,VA,Arlington,"Washington DC",733.9883,88703000,Energy,1
26295,636,56,"The Rinaldi Group",the-rinaldi-group,"New Jersey",NJ,Secaucus,"New York City",733.0678,75469081,Construction,1
23029,637,11,SiiBER,siiber,Indiana,IN,"Fort Wayne","Fort Wayne IN",732.4662,2368691,"Consumer Products & Services",2
